slug,name,city,country,brand,status,current_url
burgenstock-hotel-and-alpine-spa-switzerland,Burgenstock Hotel and Alpine Spa,"Lake Lucerne, Switzerland",Switzerland,Burgenstock Collection,404,https://media.virtuoso.com/m/Images/Brochures/15603496_2_0_0314.jpg
como-maalifushi-maldives,COMO Maalifushi,"Guraidhoo,Thaa Atoll",Maldives,COMO Hotels and Resorts,404,https://media.virtuoso.com/m/Images/Brochures/15810878_2_0_0224.jpg
capella-sydney-australia,Capella Sydney,Sydney,Australia,Capella Hotel Group,404,https://media.virtuoso.com/m/Images/Brochures/16562779_2_0_0309.jpg
patina-osaka-japan,Patina Osaka,Osaka,Japan,Capella Hotel Group,404,https://media.virtuoso.com/m/Images/Brochures/18391398_2_0_0311.jpg
hotel-pitrizza-italy,Hotel Pitrizza,Porto Cervo,Italy,Cheval Blanc by LVMH Hotel Management,404,https://media.virtuoso.com/m/Images/Brochures/4351_2_0_0310.jpg
bungalows-at-the-boca-raton-united-states,Bungalows at The Boca Raton,Boca Raton,United States,Cloister at The Boca Raton,404,https://media.virtuoso.com/m/Images/Brochures/16471248_2_0_0226.jpg
explora-patagonia-national-park-chile,Explora Patagonia National Park,Cochrane,Chile,Explora,404,https://media.virtuoso.com/m/Images/Brochures/16423054_2_0_0315.jpg
explora-uyuni-bolivia,Explora Uyuni,Uyuni,Bolivia,Explora,404,https://media.virtuoso.com/m/Images/Brochures/16641084_2_25_0311.jpg
fasano-punta-del-este-uruguay,Fasano Punta del Este,La Barra,Uruguay,Fasano Hotels,404,https://media.virtuoso.com/m/Images/Brochures/6563083_2_0_0314.jpg
hotel-fasano-angra-dos-reis-brazil,Hotel Fasano Angra dos Reis,Angra Dos Reis,Brazil,Fasano Hotels,404,https://media.virtuoso.com/m/Images/Brochures/15768837_2_0_0223.jpg
hotel-fasano-sao-paulo-itaim-brazil,Hotel Fasano Sao Paulo Itaim,Sao Paulo,Brazil,Fasano Hotels,404,https://media.virtuoso.com/m/Images/Brochures/16769756_2_0_0315.jpg
hotel-fasano-trancoso-brazil,Hotel Fasano Trancoso,Trancoso,Brazil,Fasano Hotels,404,https://media.virtuoso.com/m/Images/Brochures/16423050_2_0_0305.jpg
grand-velas-los-cabos-mexico,Grand Velas Los Cabos,Cabo San Lucas,Mexico,Grand Velas Resorts,404,https://media.virtuoso.com/m/Images/Brochures/15476764_2_0_0223.jpg
alila-mayakoba-mexico,Alila Mayakoba,Riviera Maya,Mexico,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/15244321_2_0_0320.jpg
andaz-bali-indonesia,Andaz Bali,Bali,Indonesia,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/16597012_2_0_0310.jpg
andaz-tokyo-toranomon-hills-japan,Andaz Tokyo Toranomon Hills,Tokyo,Japan,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/14656837_2_0_0304.jpg
grand-hyatt-indian-wells-resort-villas-united-states,Grand Hyatt Indian Wells Resort & Villas,Indian Wells,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4583_2_58_0312.jpg
grand-hyatt-tokyo-japan,Grand Hyatt Tokyo,Tokyo,Japan,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/6616328_2_4_0314.jpg
grand-hyatt-vail-united-states,Grand Hyatt Vail,Vail,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4027_2_0_0310.jpg
hotel-martinez-france,Hotel Martinez,Cannes,France,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/12664483_2_0_0319.jpg
hyatt-regency-aruba-resort-spa-casino-aruba,"Hyatt Regency Aruba Resort, Spa & Casino",Palm Beach,Aruba,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/11152928_2_0_0318.jpg
hyatt-regency-nice-palais-de-la-mediterranee-france,Hyatt Regency Nice Palais de la Mediterranee,Nice,France,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4473_2_1_0310.jpg
la-zambra-resort-spain,La Zambra Resort,Málaga,Spain,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/18218783_2_0_0307.jpg
maison-mtier-united-states,Maison Métier,New Orleans,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/16237350_2_6_0311.jpg
palacio-duhau-park-hyatt-buenos-aires-argentina,Palacio Duhau - Park Hyatt Buenos Aires,Buenos Aires,Argentina,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4119_2_0_0308.jpg
park-hyatt-aviara-resort-golf-club-and-spa-united-states,"Park Hyatt Aviara Resort, Golf Club and Spa",San Diego,United States,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4524_2_27_0311.jpg
park-hyatt-beijing-china,Park Hyatt Beijing,Beijing,China,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4239375_2_0_0313.jpg
park-hyatt-istanbul-macka-palas-turkey,Park Hyatt Istanbul - Macka Palas,Istanbul,Turkey,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/5300660_2_3_0315.jpg
park-hyatt-marrakech-morocco,Park Hyatt Marrakech,Marrakech,Morocco,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/18218801_2_0_0225.jpg
park-hyatt-melbourne-australia,Park Hyatt Melbourne,Melbourne,Australia,Hyatt Hotels Corporation,404,https://media.virtuoso.com/m/Images/Brochures/4438_2_0_0316.jpg
