slug,name,city,country,hotel_company,current_url,new_image_url,image_status
7pines-resort-sardinia-italy,"7Pines Resort Sardinia","Arzachena",Italy,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/16921314_2_0_0225.jpg,,
alila-mayakoba-mexico,"Alila Mayakoba","Riviera Maya",Mexico,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/15244321_2_0_0320.jpg,,
andaz-bali-indonesia,"Andaz Bali","Bali",Indonesia,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/16597012_2_0_0310.jpg,,
andaz-tokyo-toranomon-hills-japan,"Andaz Tokyo Toranomon Hills","Tokyo",Japan,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/14656837_2_0_0304.jpg,,
grand-hyatt-indian-wells-resort-villas-united-states,"Grand Hyatt Indian Wells Resort & Villas","Indian Wells",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4583_2_58_0312.jpg,,
grand-hyatt-tokyo-japan,"Grand Hyatt Tokyo","Tokyo",Japan,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/6616328_2_4_0314.jpg,,
grand-hyatt-vail-united-states,"Grand Hyatt Vail","Vail",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4027_2_0_0310.jpg,,
hotel-martinez-france,"Hotel Martinez","Cannes",France,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/12664483_2_0_0319.jpg,,
hyatt-regency-aruba-resort-spa-casino-aruba,"Hyatt Regency Aruba Resort, Spa & Casino","Palm Beach",Aruba,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/11152928_2_0_0318.jpg,,
hyatt-regency-nice-palais-de-la-mediterranee-france,"Hyatt Regency Nice Palais de la Mediterranee","Nice",France,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4473_2_1_0310.jpg,,
la-zambra-resort-spain,"La Zambra Resort","Málaga",Spain,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/18218783_2_0_0307.jpg,,
maison-mtier-united-states,"Maison Métier","New Orleans",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/16237350_2_6_0311.jpg,,
palacio-duhau-park-hyatt-buenos-aires-argentina,"Palacio Duhau - Park Hyatt Buenos Aires","Buenos Aires",Argentina,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4119_2_0_0308.jpg,,
prisi-udvar-hotel-budapest-in-the-unbound-collection-by-hyatt-hungary,"Párisi Udvar Hotel Budapest, in The Unbound Collection by Hyatt","Budapest",Hungary,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/18048712_2_0_0310.jpg,,
park-hyatt-aviara-resort-golf-club-and-spa-united-states,"Park Hyatt Aviara Resort, Golf Club and Spa","San Diego",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4524_2_27_0311.jpg,,
park-hyatt-beijing-china,"Park Hyatt Beijing","Beijing",China,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4239375_2_0_0313.jpg,,
park-hyatt-istanbul-macka-palas-turkey,"Park Hyatt Istanbul - Macka Palas","Istanbul",Turkey,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/5300660_2_3_0315.jpg,,
park-hyatt-marrakech-morocco,"Park Hyatt Marrakech","Marrakech",Morocco,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/18218801_2_0_0225.jpg,,
park-hyatt-melbourne-australia,"Park Hyatt Melbourne","Melbourne",Australia,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4438_2_0_0316.jpg,,
park-hyatt-milano-italy,"Park Hyatt Milano","Milan",Italy,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4475_2_57_0309.jpg,,
park-hyatt-new-york-united-states,"Park Hyatt New York","New York City",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/12629666_2_0_0310.jpg,,
park-hyatt-paris-vendome-france,"Park Hyatt Paris-Vendome","Paris",France,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4354_2_0_0310.jpg,,
park-hyatt-seoul-south-korea,"Park Hyatt Seoul","Seoul",South Korea,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4031_2_0_0311.jpg,,
park-hyatt-siem-reap-cambodia,"Park Hyatt Siem Reap","Siem Reap",Cambodia,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/687867_2_63_0312.jpg,,
park-hyatt-sydney-australia,"Park Hyatt Sydney","Sydney",Australia,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4072_2_0_0308.jpg,,
park-hyatt-zurich-switzerland,"Park Hyatt Zurich","Zurich",Switzerland,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4450_2_4_0311.jpg,,
royal-palms-resort-and-spa-united-states,"Royal Palms Resort and Spa","Phoenix",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4371_2_0_0310.jpg,,
the-chatwal-lodge-united-states,"The Chatwal Lodge","White Lake",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/16896477_2_0_0224.jpg,,
the-lodge-at-spruce-peak-united-states,"The Lodge at Spruce Peak","Stowe",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/66239_2_0_0312.jpg,,
the-seabird-ocean-resort-spa-united-states,"The Seabird Ocean Resort & Spa","Oceanside",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/16594306_2_0_0310.jpg,,
thompson-houston-united-states,"Thompson Houston","Houston",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/18067796_2_0_0314.jpg,,
thompson-madrid-by-hyatt-spain,"Thompson Madrid, by Hyatt","Madrid",Spain,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/18102190_2_0_0316.jpg,,
thompson-san-antonio-riverwalk-united-states,"Thompson San Antonio - Riverwalk","San Antonio",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/16253827_2_0_0307.jpg,,
thompson-savannah-united-states,"Thompson Savannah","Savannah",United States,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/16594296_2_0_0310.jpg,,
thompson-zihuatanejo-mexico,"Thompson Zihuatanejo","Zihuatanejo",Mexico,"Hyatt Hotels Corporation",https://media.virtuoso.com/m/Images/Brochures/4380_2_0_0310.jpg,,
inverlochy-castle-hotel-united-kingdom,"Inverlochy Castle Hotel","Scotland",United Kingdom,"ICMI - Inverlochy Castle Management International",https://media.virtuoso.com/m/Images/Brochures/4216_2_0_0309.jpg,,
david-intercontinental-tel-aviv-israel,"David InterContinental Tel Aviv","Tel Aviv",Israel,"IHG Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/848469_2_0_0312.jpg,,
intercontinental-bora-bora-resort-thalasso-spa-french-polynesia,"InterContinental Bora Bora Resort & Thalasso Spa","Bora Bora",French Polynesia,"IHG Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/15542952_2_0_0226.jpg,,
intercontinental-buckhead-atlanta-united-states,"InterContinental Buckhead Atlanta","Atlanta",United States,"IHG Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/4192_2_0_0311.jpg,,
intercontinental-hayman-great-barrier-reef-australia,"InterContinental Hayman Great Barrier Reef","Hayman Island (Australia)",Australia,"IHG Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/16129580_2_38_0228.jpg,,
intercontinental-paris-le-grand-france,"InterContinental Paris Le Grand","Paris",France,"IHG Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/4345_2_31_0313.jpg,,
intercontinental-phuket-resort-thailand,"InterContinental Phuket Resort","Phuket",Thailand,"IHG Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/16633734_2_0_0311.jpg,,
intercontinental-sydney-australia,"InterContinental Sydney","Sydney",Australia,"IHG Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/3813_2_0_0228.jpg,,
kimpton-seafire-resort-spa-grand-cayman-cayman-islands,"Kimpton Seafire Resort + Spa, Grand Cayman","Grand Cayman",Cayman Islands,"IHG Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/15602214_2_0_0222.jpg,,
six-senses-yao-noi-thailand,"Six Senses Yao Noi","Phangnga",Thailand,"IHG Hotels & Resorts",https://media.sixsenses.com/B60H3R33/at/37nw6qg7fn5skhk89k6vm/Ocean_Panorama_Pool_Villa.jpg,,
jumeirah-marsa-al-arab-resort-residences-united-arab-emirates,"Jumeirah Marsa Al Arab Resort & Residences","Dubai",United Arab Emirates,"Jumeirah Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/16585524_2_0_0315.jpg,,
jumeirah-olhahali-island-maldives,"Jumeirah Olhahali Island","Malé",Maldives,"Jumeirah Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/16314108_2_8_0221.jpg,,
hotel-adlon-kempinski-berlin-germany,"Hotel Adlon Kempinski Berlin","Berlin",Germany,"Kempinski Hotels",https://media.virtuoso.com/m/Images/Brochures/4235_2_0_0326.jpg,,
hotel-taschenbergpalais-kempinski-dresden-germany,"Hotel Taschenbergpalais Kempinski Dresden","Dresden",Germany,"Kempinski Hotels",https://media.virtuoso.com/m/Images/Brochures/4956718_2_0_0315.jpg,,
kempinski-hotel-mall-of-the-emirates-dubai-united-arab-emirates,"Kempinski Hotel Mall of the Emirates Dubai","Dubai",United Arab Emirates,"Kempinski Hotels",https://media.virtuoso.com/m/Images/Brochures/18120643_2_0_0311.jpg,,
the-langham-boston-united-states,"The Langham, Boston","Boston",United States,"Langham Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/16005996_2_0_0227.jpg,,
the-langham-new-york-fifth-avenue-united-states,"The Langham, New York, Fifth Avenue","New York City",United States,"Langham Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/11130968_2_0_0303.jpg,,
the-langham-sydney-australia,"The Langham, Sydney","Sydney",Australia,"Langham Hotels & Resorts",https://media.virtuoso.com/m/Images/Brochures/3785_2_3_0309.jpg,,
hotel-lungarno-italy,"Hotel Lungarno","Florence",Italy,"Lungarno Collection - Florence, Rome, and Milan",https://media.virtuoso.com/m/Images/Brochures/4573_2_7_0310.jpg,,
al-maha-a-luxury-collection-desert-resort-spa-dubai-united-arab-emirates,"Al Maha, a Luxury Collection Desert Resort & Spa, Dubai","Dubai",United Arab Emirates,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/4512_2_0_0311.jpg,,
bisha-a-luxury-collection-hotel-toronto-canada,"BISHA, a Luxury Collection Hotel, Toronto","Toronto",Canada,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/15734805_2_0_0223.jpg,,
bvlgari-hotel-milano-italy,"Bvlgari Hotel Milano","Milan",Italy,"Luxury Group at Marriott International",https://www.bulgarihotels.com/.imaging/bhr-narrow-big-jpg/dam/MILAN/the-hotel/Overview/bvlgari-hotel-milan-facade.jpg/jcr%3Acontent,,
bvlgari-hotel-roma-italy,"Bvlgari Hotel Roma","Rome",Italy,"Luxury Group at Marriott International",https://www.bulgarihotels.com/.imaging/bhr-narrow-big-jpg/dam/ROME/the-hotel/Overview/exterior/bvlgari-hotel-rome-exterior-hero.jpg/jcr%3Acontent,,
bvlgari-hotel-tokyo-japan,"Bvlgari Hotel Tokyo","Tokyo",Japan,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/16780984_2_0_0309.jpg,,
cala-di-volpe-a-luxury-collection-hotel-costa-smeralda-italy,"Cala di Volpe, a Luxury Collection Hotel, Costa Smeralda","Sardinia",Italy,"Luxury Group at Marriott International",https://media.virtuoso.com/m/Images/Brochures/4138_2_0_0308.jpg,,
