"status","slug","name","current_url"
"404_BROKEN","country-club-lima-hotel-peru","Country Club Lima Hotel","https://media.virtuoso.com/m/Images/Brochures/4662_2_8_0314.jpg"
"404_BROKEN","daios-cove-greece","Daios Cove","https://media.virtuoso.com/m/Images/Brochures/16053138_2_74_0227.jpg"
"404_BROKEN","david-intercontinental-tel-aviv-israel","David InterContinental Tel Aviv","https://media.virtuoso.com/m/Images/Brochures/848469_2_0_0312.jpg"
"404_BROKEN","emirates-palace-mandarin-oriental-abu-dhabi-united-arab-emirates","Emirates Palace Mandarin Oriental, Abu Dhabi","https://media.virtuoso.com/m/Images/Brochures/4162_2_0_0228.jpg"
"404_BROKEN","explora-patagonia-national-park-chile","Explora Patagonia National Park","https://media.virtuoso.com/m/Images/Brochures/16423054_2_0_0315.jpg"
"404_BROKEN","explora-uyuni-bolivia","Explora Uyuni","https://media.virtuoso.com/m/Images/Brochures/16641084_2_25_0311.jpg"
"404_BROKEN","fairmont-empress-canada","Fairmont Empress","https://media.virtuoso.com/m/Images/Brochures/4303_2_0_0313.jpg"
"404_BROKEN","fairmont-miramar-hotel-bungalows-united-states","Fairmont Miramar Hotel & Bungalows","https://media.virtuoso.com/m/Images/Brochures/5818858_2_0_0313.jpg"
"404_BROKEN","fairmont-mount-kenya-safari-club-kenya","Fairmont Mount Kenya Safari Club","https://media.virtuoso.com/m/Images/Brochures/6742524_2_0_0315.jpg"
"404_BROKEN","fairmont-orchid-united-states","Fairmont Orchid","https://media.virtuoso.com/m/Images/Brochures/4383_2_0_0226.jpg"
"404_BROKEN","fairmont-pacific-rim-canada","Fairmont Pacific Rim","https://media.virtuoso.com/m/Images/Brochures/5940549_2_25_0313.jpg"
"404_BROKEN","fairmont-royal-pavilion-barbados","Fairmont Royal Pavilion","https://media.virtuoso.com/m/Images/Brochures/15739548_2_2_0310.jpg"
"404_BROKEN","fairmont-tazi-palace-tangier-morocco","Fairmont Tazi Palace Tangier","https://media.virtuoso.com/m/Images/Brochures/16780964_2_0_0315.jpg"
"404_BROKEN","fairmont-the-norfolk-kenya","Fairmont The Norfolk","https://media.virtuoso.com/m/Images/Brochures/4751908_2_0_0313.jpg"
"404_BROKEN","fairmont-the-queen-elizabeth-canada","Fairmont The Queen Elizabeth","https://media.virtuoso.com/m/Images/Brochures/4667_2_0_0312.jpg"
"404_BROKEN","fairmont-waterfront-canada","Fairmont Waterfront","https://media.virtuoso.com/m/Images/Brochures/4297_2_0_0310.jpg"
"404_BROKEN","fasano-punta-del-este-uruguay","Fasano Punta del Este","https://media.virtuoso.com/m/Images/Brochures/6563083_2_0_0314.jpg"
